,oa,f_1,f_2,f_3,f_4,f_5,f_6
27,0.900619466,0.930650151,0.932304885,0.981048035,0.882605965,0.740435185,0.849705506
28,0.897543071,0.913412682,0.921105743,0.983792965,0.890566059,0.738544019,0.866465555
29,0.90540768,0.939032407,0.920698514,0.981508355,0.884957283,0.75138066,0.882635174
30,0.902412697,0.943970239,0.916237968,0.977141317,0.879305618,0.763278404,0.847298048
31,0.885573495,0.89389368,0.924059061,0.980148898,0.872784669,0.710891458,0.859686523
32,0.900809453,0.919828775,0.926580966,0.983647889,0.886675599,0.744437596,0.867307297
33,0.910866027,0.959740846,0.921241483,0.98453258,0.884878263,0.768714201,0.86815345
34,0.90458502,0.938762759,0.918139318,0.984686799,0.896471578,0.751465355,0.868514048
35,0.897817144,0.914573342,0.919199349,0.985063308,0.911541171,0.736278712,0.846443486
36,0.91543415,0.963020809,0.918932334,0.979113273,0.906997639,0.775921209,0.885641971
37,0.908780721,0.94793554,0.922945841,0.981197008,0.898321049,0.762794499,0.859126906
38,0.895374031,0.915556736,0.919546033,0.979734792,0.885813168,0.744367143,0.843676961
39,0.899979597,0.924919471,0.91849175,0.980383603,0.886512366,0.749031475,0.863539645
40,0.904499736,0.929713653,0.93204071,0.980491054,0.885804156,0.757626571,0.857746008
41,0.892636076,0.902767541,0.924011116,0.981516672,0.872735006,0.742449165,0.837489343
42,0.888732688,0.936263525,0.914522934,0.97790285,0.859710372,0.721592304,0.813121375
43,0.897030039,0.935591562,0.912680628,0.977730095,0.887369743,0.742609688,0.83599301
44,0.898151357,0.938679031,0.91003501,0.984263263,0.868087729,0.754890012,0.833384908
45,0.891386679,0.904280828,0.917443561,0.985205,0.871104522,0.732155243,0.855353479
46,0.909780452,0.952247208,0.914031413,0.98000362,0.893745068,0.778161777,0.864358114
47,0.90047912,0.947470472,0.90676902,0.981533692,0.87633979,0.758890866,0.841795672
48,0.889317859,0.914566025,0.918402046,0.982835526,0.870291028,0.717813208,0.843900683
49,0.902510964,0.943803304,0.923114197,0.979160051,0.882427245,0.748068286,0.851031282
50,0.903764647,0.923884301,0.922910108,0.98442452,0.907714208,0.741496472,0.870965344
51,0.898958145,0.939301988,0.912747209,0.9843257,0.899043044,0.736161221,0.838214536
52,0.901546996,0.929810058,0.92533229,0.975711792,0.819986693,0.803609447,0.866543095
53,0.894795586,0.937429427,0.903951747,0.977961359,0.821168856,0.779386541,0.839356901
54,0.909885339,0.946586166,0.923831603,0.979788936,0.836980165,0.819017515,0.862144555
55,0.90017493,0.93584722,0.912238417,0.978007334,0.842875626,0.784325635,0.848430565
56,0.897194581,0.924771151,0.915645871,0.982124407,0.88542569,0.73917341,0.850000668
57,0.894363934,0.932345399,0.914318711,0.980404313,0.8813924,0.719717309,0.86023969
58,0.90427329,0.93557971,0.926691551,0.984798847,0.885675559,0.754880067,0.848196382
59,0.902014884,0.947335985,0.919041679,0.984590675,0.871459232,0.740664452,0.861853346
60,0.911558477,0.956417164,0.892050345,0.986854105,0.902053307,0.790801814,0.869851991
61,0.899320065,0.92467446,0.885682248,0.98527168,0.884808212,0.779264943,0.865568611
62,0.897890641,0.931172232,0.847410536,0.984256702,0.8912951,0.807119376,0.873539412
63,0.902959226,0.939738472,0.883558157,0.986317664,0.908418536,0.77319424,0.841054902
64,0.89342891,0.932907724,0.909545716,0.980804543,0.882286175,0.730058369,0.8330596
65,0.898206976,0.944212269,0.904279871,0.983717963,0.882290218,0.745565641,0.840348816
66,0.890083605,0.927790911,0.912309119,0.987221752,0.799253306,0.76834541,0.829638106
